RecordKey,SurveyKey,SampleKey,StartDate,EndDate,DateType,Date,TaxonVersionKey,TaxonName,GridReference,East,North,Projection,Precision,SiteKey,SiteName,Recorder,Determiner,ZeroAbundance,UnderValidation,ImagePath,Heritage Type,Category of Tree,Tree form,Condition of tree,Age Range,Evidence of,Access,Variety,Longitude,Latitude
130,,,12/10/2009,12/10/2009,D,12/10/2009,NBNSYS0000003430,Crataegus monogyna,M462074,146261,207449,OSI,100,,"St Colman's Well, Gort, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.803287010485942,53.1151815670321
131,,,20/10/2009,20/10/2009,D,20/10/2009,NBNSYS0000003430,Crataegus monogyna,G909655,190974,365537,OSI,100,,"Tullymore, Co. Donegal",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Multi-stem,Standing alive,50 - 100 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.14018972758105,54.538112384713045
132,,,15/10/2009,15/10/2009,D,15/10/2009,NBNSYS0000003430,Crataegus monogyna,G252250,125296,325025,OSI,100,,"St Mary's Well, Ballina, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.144561886900252,54.16881996531185
133,,,07/10/2009,07/10/2009,D,07/10/2009,NBNSYS0000003430,Crataegus monogyna,H226249,222619,324922,OSI,100,,"Drumersee, Co. Cavan",Kate Crane,Kate Crane,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,300 - 500 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.654390536120577,54.172832650390696
134,,,15/10/2009,15/10/2009,D,15/10/2009,NBNSYS0000003430,Crataegus monogyna,G359030,135965,303017,OSI,100,,"Rubble, Swinford, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.976585113376164,53.97257223856021
135,,,24/08/2009,24/08/2009,D,24/08/2009,NBNSYS0000003430,Crataegus monogyna,S685290,268559,129010,OSI,100,,"Tinnranny, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.993283327797323,52.408756733252375
136,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000003430,Crataegus monogyna,N822015,282242,201596,OSI,100,,"Ballymount, Kildare",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,50 - 100 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.77409669118042,53.05897830606211
137,,,27/07/2009,27/07/2009,D,27/07/2009,NBNSYS0000003430,Crataegus monogyna,S588562,258890,156214,OSI,100,,"Freestone Hill, Cliften, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Coppice,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.130529531850874,52.65431488194475
138,,,21/09/2009,21/09/2009,D,21/09/2009,NBNSYS0000003430,Crataegus monogyna,S215216,221574,121670,OSI,100,,"Ragwell, Clonmel, Co. Waterford",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Multi-stem,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.684156348983586,52.346662201205895
139,,,13/08/2009,13/08/2009,D,13/08/2009,NBNSYS0000003430,Crataegus monogyna,N138018,213823,201818,OSI,100,,"Clareen, Co. Offaly",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.7945305869282855,53.0671141985108
140,,,18/08/2009,18/08/2009,D,18/08/2009,NBNSYS0000003430,Crataegus monogyna,N004300,200441,230040,OSI,100,,"Clonmacnoise, Co. Offaly",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Multi-stem,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.994119561906041,53.3208729962203
141,,,26/08/2009,26/08/2009,D,26/08/2009,NBNSYS0000003430,Crataegus monogyna,S419390,241948,139065,OSI,100,,"Coolaghmore Hill, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Multi-stem,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.383026422145459,52.50179328760989
142,,,14/10/2009,14/10/2009,D,14/10/2009,NBNSYS0000003430,Crataegus monogyna,L707462,70788,246282,OSI,100,,"The Old Bog Road, Connemara, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.945698917387778,53.450968068614365
143,,,18/09/2009,18/09/2009,D,18/09/2009,NBNSYS0000003430,Crataegus monogyna,R378712,137855,171284,OSI,100,,"Dromoland, Co. Clare",,,False,False,,Named trees,Individual tree,Multi-stem,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.921875157231536,52.78934741257625
144,,,26/10/2009,26/10/2009,D,26/10/2009,NBNSYS0000003430,Crataegus monogyna,N687770,268763,277076,OSI,100,,"Castlekeeran, Co. Meath",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.958665523710191,53.738950819248984
145,,,14/10/2009,14/10/2009,D,14/10/2009,NBNSYS0000003430,Crataegus monogyna,L832620,83214,262085,OSI,100,,"Killary Harbour, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,50 - 100 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.764647671420871,53.5957848516747
146,,,16/10/2009,16/10/2009,D,16/10/2009,NBNSYS0000003430,Crataegus monogyna,M775693,177504,269343,OSI,100,,"St Patricks Bush, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.341124251446162,53.673516533065964
147,,,27/07/2009,27/07/2009,D,27/07/2009,NBNSYS0000003430,Crataegus monogyna,S497510,249794,151034,OSI,100,,"St. Patrick's Bush, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Multi-stem,Standing alive,Not known,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.265705632939893,52.60868112073973
148,,,15/10/2009,15/10/2009,D,15/10/2009,NBNSYS0000003430,Crataegus monogyna,F873230,87395,323079,OSI,100,,"Bangor Erris, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Trees with character,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.72390862625409,54.14443627918776
149,,,18/08/2009,18/08/2009,D,18/08/2009,NBNSYS0000003430,Crataegus monogyna,N258254,225850,225446,OSI,100,,"St.Carthach Church, Tullamore, Co. Offaly",Aubrey Fennell,Aubrey Fennell,False,False,,Trees with character,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.613214892313349,53.27896734643822
150,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000003430,Crataegus monogyna,M603479,160321,247963,OSI,100,,"Mullaghmore North, Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Unusual location,Individual tree,Maiden,Fallen alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.598389037069715,53.48041355997364
151,,,15/10/2009,15/10/2009,D,15/10/2009,NBNSYS0000003430,Crataegus monogyna,G373033,137363,303354,OSI,100,,"Blackpatch, Swinford, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.955353230787907,53.97577060689198
152,,,13/08/2009,13/08/2009,D,13/08/2009,NBNSYS0000003430,Crataegus monogyna,N138022,213851,202288,OSI,100,,"Clareen, Co. Offaly",Aubrey Fennell,Aubrey Fennell,False,False,,Trees with character,Wood pasture,Multi-stem,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.794092721414375,53.07133659096878
153,,,22/09/2009,22/09/2009,D,22/09/2009,NHMSYS0000457746,Cryptomeria japonica,W897674,189739,67422,OSI,100,,"Castle Mary, Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Trees with character,Avenue,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.149661900943958,51.859470070929646
155,,,24/09/2009,24/09/2009,D,24/09/2009,NHMSYS0000457746,Cryptomeria japonica,V979528,97976,52866,OSI,100,,"Ardnagashel Estate, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.477040660314264,51.71946654233189
156,,,07/09/2009,07/09/2009,D,07/09/2009,NHMSYS0000457746,Cryptomeria japonica,S437150,243750,115085,OSI,100,,"Curraghmore, Portlaw, Co. Waterfod",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.359621365561323,52.28617058783575
157,,,18/09/2009,18/09/2009,D,18/09/2009,NHMSYS0000457746,Cryptomeria japonica,R556911,155606,191105,OSI,100,,"Caher House, Co. Clare",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.66148729724602,52.969192518706095
158,,,01/09/2009,01/09/2009,D,01/09/2009,NHMSYS0000457746,Cryptomeria japonica,O212163,321211,216355,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.187570851861969,53.18411919126722
160,,,07/08/2009,07/08/2009,D,07/08/2009,NHMSYS0000457746,Cryptomeria japonica,T246880,324694,188010,OSI,100,,"Kilmacurragh, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Multi-stem,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Cristata,-6.146461656390256,52.92875740765862
161,,,15/10/2009,15/10/2009,D,15/10/2009,NHMSYS0000457746,Cryptomeria japonica,M144544,114444,254475,OSI,100,,"Ashford Castle Hotel, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Arboretum,Group,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Elegans Group,-9.291030019463266,53.53345318117382
162,,,08/10/2009,08/10/2009,D,08/10/2009,NHMSYS0000457746,Cryptomeria japonica,T019166,301993,116660,OSI,100,,"Johnstown Castle, Co. Wexford",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Elegans Group,-6.505883723358948,52.29260669528385
163,,,29/09/2009,29/09/2009,D,29/09/2009,NHMSYS0000457746,Cryptomeria japonica,V770588,77076,58835,OSI,100,,"Derreen Gardens, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Elegans Group,-9.781433395736602,51.76889823778521
164,,,23/09/2009,23/09/2009,D,23/09/2009,NHMSYS0000457746,Cryptomeria japonica,W791709,179158,70947,OSI,100,,"Fota Arboretum, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Spiralis,-8.303453982327305,51.89085455149188
165,,,23/09/2009,23/09/2009,D,23/09/2009,NBDCSYS000000016,Cupressus cashmeriana,W776733,177661,73331,OSI,100,,"Ashbourne House, Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.32535194733145,51.91222167886443
166,,,07/08/2009,07/08/2009,D,07/08/2009,NBDCSYS000000017,Cupressus lusitanica,T245878,324564,187818,OSI,100,,"Kilmacurragh, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing dead,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.148467344383824,52.92706320626235
167,,,07/08/2009,07/08/2009,D,07/08/2009,NBDCSYS000000017,Cupressus lusitanica,T245878,324599,187855,OSI,100,,"Kilmacurragh, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.147933001597253,52.92738739037805
168,,,30/09/2009,30/09/2009,D,30/09/2009,NHMSYS0000457766,Cupressus macrocarpa,V965857,96525,85727,OSI,100,,"Muckross House, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Multi-stem,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.507868579397487,52.01442917887157
169,,,21/10/2009,21/10/2009,D,21/10/2009,NHMSYS0000457766,Cupressus macrocarpa,C088346,208849,434688,OSI,100,,"Capuchin Friary, Cresslough, Co. Donegal",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Multi-stem,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.861929627714529,55.15927958962558
170,,,23/09/2009,23/09/2009,D,23/09/2009,NHMSYS0000457766,Cupressus macrocarpa,W536572,153643,57265,OSI,100,,"Belmont House, Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Multi-stem,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.6722050672127,51.76636086268017
171,,,28/09/2009,28/09/2009,D,28/09/2009,NHMSYS0000457766,Cupressus macrocarpa,O260218,326078,221845,OSI,100,,"Clontra House, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.112642682518297,53.23229147015202
172,,,05/10/2009,05/10/2009,D,05/10/2009,NHMSYS0000457766,Cupressus macrocarpa,O015905,301526,290536,OSI,100,,"Richardstown Castle, Co. Louth",Kate Crane,Kate Crane,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.457890877319787,53.85449319641476
173,,,28/09/2009,28/09/2009,D,28/09/2009,NHMSYS0000457766,Cupressus macrocarpa,O197261,319728,226150,OSI,100,,"Burton Hall Campus, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Multi-stem,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.206067936992003,53.27242122726233
174,,,02/10/2009,02/10/2009,D,02/10/2009,NHMSYS0000457766,Cupressus macrocarpa,R218509,121836,150966,OSI,100,,"Mount Trenchard, Co. Limerick",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.154444256586318,52.604726430087574
175,,,29/09/2009,29/09/2009,D,29/09/2009,NHMSYS0000457766,Cupressus macrocarpa,V909709,90989,70921,OSI,100,,"Fair Green, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.583777288297691,51.880357666570795
176,,,07/09/2009,07/09/2009,D,07/09/2009,NHMSYS0000457766,Cupressus macrocarpa,S636123,263691,112311,OSI,100,,"Gyles Quay, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.067966803965675,52.2592982170169
177,,,07/09/2009,07/09/2009,D,07/09/2009,NHMSYS0000457766,Cupressus macrocarpa,S532101,253228,110137,OSI,100,,"Mount Congreve, Co. Waterford",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.221523963398633,52.24087362679278
178,,,01/08/2009,01/08/2009,D,01/08/2009,NHMSYS0000457766,Cupressus macrocarpa,N537067,253777,206782,OSI,100,,"Emo Court, Co. Laois",Aubrey Fennell,Aubrey Fennell,False,False,,Trees with character,Individual tree,Multi-stem,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.197727924587502,53.10918984074496
179,,,21/10/2009,21/10/2009,D,21/10/2009,NHMSYS0000457766,Cupressus macrocarpa,B940329,194030,432973,OSI,100,,"Ballyconnell House, Co. Donegal",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Lutea,-8.094375331429509,55.14391732133653
180,,,25/09/2009,25/09/2009,D,25/09/2009,NHMSYS0000457766,Cupressus macrocarpa,W064329,106424,32998,OSI,100,,"Old Post Office, Skibereen, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Multi-stem,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Lutea,-9.349527084621114,51.54242281130155
181,,,28/08/2009,28/08/2009,D,28/08/2009,NHMSYS0000457766,Cupressus macrocarpa,O243152,324321,215219,OSI,100,,"Glencormac, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Named tree,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Pendula,-6.14151683087372,53.1732005687691
182,,,01/09/2009,01/09/2009,D,01/09/2009,NBNSYS0000042098,Cupressus sempervirens,O213162,321387,216264,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.184974078357345,53.183261866932945
183,,,01/10/2009,01/10/2009,D,01/10/2009,NHMSYS0000457789,Cyathea dealbata,V405773,40559,77355,OSI,100,,"Glanleam, Valentia, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-10.318548208372237,51.92600641763417
184,,,29/09/2009,29/09/2009,D,29/09/2009,NBNSYS0000033530,Dicksonia antarctica,V770588,77077,58839,OSI,100,,"Derreen Gardens, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.781420331632189,51.7689343894103
185,,,01/10/2009,01/10/2009,D,01/10/2009,NBNSYS0000033530,Dicksonia antarctica,V559876,55905,87640,OSI,100,,"Kells Bay Gardens, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-10.099945572649093,52.022557104493245
186,,,24/09/2009,24/09/2009,D,24/09/2009,NHMSYS0000458616,Eucalyptus globulus,V937566,93726,56658,OSI,100,,"Eccles Hotel, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,100 - 150 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.539673187085437,51.75274590607993
187,,,24/09/2009,24/09/2009,D,24/09/2009,NHMSYS0000458616,Eucalyptus globulus,V937566,93706,56657,OSI,100,,"Eccles Hotel, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.539962387735498,51.75273312955852
188,,,14/08/2009,14/08/2009,D,14/08/2009,NBNSYS0000033704,Eucalyptus johnstonii,T156646,315676,164684,OSI,100,,"Ballynastragh Estate, Co. Wexford",Aubrey Fennell,Aubrey Fennell,False,False,,Unusual location,Hedgerow,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.28875152064392,52.72126522768537
189,,,27/08/2009,27/08/2009,D,27/08/2009,NBDCSYS000000018,Eucryphia x nymansensis,T273968,327375,196844,OSI,100,,"Mount Usher Gardens, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Multi-stem,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Mount Usher,-6.103145445860879,53.00746390577804
190,,,17/08/2009,17/08/2009,D,17/08/2009,NBNSYS0000003195,Euonymus europaeus,N316224,231653,222400,OSI,100,,"Charleville Forest, Co. Offaly",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,300 - 500 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.52652670836283,53.2512854901149
191,,,01/09/2009,01/09/2009,D,01/09/2009,NBNSYS0000003840,Fagus sylvatica,O222167,322249,216740,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Trees with character,Avenue,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.17190517660218,53.187339533099426
192,,,21/08/2009,21/08/2009,D,21/08/2009,NBNSYS0000003840,Fagus sylvatica,S535719,253515,171957,OSI,100,,"Castlecomer Golf Club, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.207383877751212,52.79632325246965
193,,,12/10/2009,12/10/2009,D,12/10/2009,NBNSYS0000003840,Fagus sylvatica,R470468,147044,146850,OSI,100,,"St Nicholas Church, Limerick",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.781758814796262,52.57078342055092
195,,,29/10/2009,29/10/2009,D,29/10/2009,NBNSYS0000003840,Fagus sylvatica,S927843,292700,184316,OSI,100,,"Barraderry House, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.62310828143439,52.90204359933356
196,,,04/08/2009,04/08/2009,D,04/08/2009,NBNSYS0000003840,Fagus sylvatica,S921692,292191,169246,OSI,100,,"Money House, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing dead,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.634922970946099,52.76675411431897
197,,,21/10/2009,21/10/2009,D,21/10/2009,NBNSYS0000003840,Fagus sylvatica,C062173,206254,417396,OSI,100,,"Glebe Gallery, Co. Donegal",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.903018097958248,55.00399580474283
198,,,10/09/2009,10/09/2009,D,10/09/2009,NBNSYS0000003840,Fagus sylvatica,N526743,252681,274343,OSI,100,,"Grennan, Co. Meath",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,50 - 100 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.202816482607708,53.71626919558911
199,,,29/07/2009,29/07/2009,D,29/07/2009,NBNSYS0000003840,Fagus sylvatica,N444709,244496,270936,OSI,100,,"Tullynally Castle, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.327267516312451,53.68642229648258
200,,,04/09/2009,04/09/2009,D,04/09/2009,NBNSYS0000003840,Fagus sylvatica,N708490,270879,249026,OSI,100,,"Lions Den House, Co. Meath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.932979152250358,53.48669418254396
201,,,17/09/2009,17/09/2009,D,17/09/2009,NBNSYS0000003840,Fagus sylvatica,M839221,183984,222164,OSI,100,,"Gort na mona, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.240671934378405,53.2498645096031
202,,,23/09/2009,23/09/2009,D,23/09/2009,NBNSYS0000003840,Fagus sylvatica,W608750,160885,75052,OSI,100,,"Blarney Estate, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.569322665229038,51.9267623878223
